state,salary_yr
CA,106932.28494646681
IA,105000.0
MT,104217.89333333333
NY,103135.20915492957
DC,102366.82343065694
LA,99107.14285714286
IL,98382.0985221675
WA,95488.11842105263
GA,95387.64468085107
NJ,94410.90721649484
MN,90923.125
AR,90853.125
DE,90631.42857142857
HI,89910.0
TX,87890.94833333333
NC,87035.54673469388
CT,86618.26
FL,83940.83481927711
WV,83567.85714285714
MA,83349.48972972973
TN,82383.63636363637
OH,82335.93532467532
ID,81934.66666666667
RI,80933.33333333333
PA,80222.64462809918
MO,79627.05555555556
CO,79580.58878504673
AZ,79097.53225806452
OR,79087.03225806452
VA,78511.73167701864
UT,76002.17647058824
MD,74070.76190476191
IN,73251.6
SC,72919.61538461539
ND,72624.0
WI,72383.88888888889
ME,70546.85714285714
MI,68841.545625
NM,68000.0
WY,68000.0
NV,66393.75
AL,65682.52222222222
NH,63333.333333333336
AK,62689.0
OK,61102.63157894737
KY,56871.3
MS,55000.0
NE,52833.333333333336
VT,52760.0
KS,40250.0
